State,Topaz,Poston,Gila River,Granada,Heart Mountain,Jerome,Manzanar,Minidoka,Rohwer,Tule Lake
AZ,0,239,5,0,0,0,1,0,0,0
CA,8134,17598,12669,7588,10015,7871,9789,170,8292,9850
HI,226,0,0,0,0,810,0,1,0,0
OR,2,1,5,2,71,0,1,2305,0,1138
WA,8,9,23,8,950,0,230,7240,9,4366
